column,start,length
FILEID,0,6
STUSAB,6,2
SUMLEV,8,3
GEOCOMP,11,2
CHARITER,13,3
CIFSN,16,2
LOGRECNO,18,7
REGION,25,1
DIVISION,26,1
STATE,27,2
COUNTY,29,3
COUNTYCC,32,2
COUNTYSC,34,2
COUSUB,36,5
COUSUBCC,41,2
COUSUBSC,43,2
PLACE,45,5
PLACECC,50,2
PLACESC,52,2
TRACT,54,6
BLKGRP,60,1
BLOCK,61,4
IUC,65,2
CONCIT,67,5
CONCITCC,72,2
CONCITSC,74,2
AIANHH,76,4
AIANHHFP,80,5
AIANHHCC,85,2
AIHHTLI,87,1
AITSCE,88,3
AITS,91,5
AITSCC,96,2
TTRACT,98,6
TBLKGRP,104,1
ANRC,105,5
ANRCCC,110,2
CBSA,112,5
CBSASC,117,2
METDIV,119,5
CSA,124,3
NECTA,127,5
NECTASC,132,2
NECTADIV,134,5
CNECTA,139,3
CBSAPCI,142,1
NECTAPCI,143,1
UA,144,5
UASC,149,2
UATYPE,151,1
UR,152,1
CD,153,2
SLDU,155,3
SLDL,158,3
VTD,161,6
VTDI,167,1
RESERVE2,168,3
ZCTA5,171,5
SUBMCD,176,5
SUBMCDCC,181,2
SDELM,183,5
SDSEC,188,5
SDUNI,193,5
AREALAND,198,14
AREAWATR,212,14
NAME,226,90
FUNCSTAT,316,1
GCUNI,317,1
POP100,318,9
HU100,327,9
INTPTLAT,336,11
INTPTLON,347,12
LSADC,359,2
PARTFLAG,361,1
RESERVE3,362,6
UGA,368,5
STATENS,373,8
COUNTYNS,381,8
COUSUBNS,389,8
PLACENS,397,8
CONCITNS,405,8
AIANHHNS,413,8
AITSNS,421,8
ANRCNS,429,8
SUBMCDNS,437,8
CD113,445,2
CD114,447,2
CD115,449,2
SLDU2,451,3
SLDU3,454,3
SLDU4,457,3
SLDL2,460,3
SLDL3,463,3
SLDL4,466,3
AIANHHSC,469,2
CSASC,471,2
CNECTASC,473,2
MEMI,475,1
NMEMI,476,1
PUMA,477,5
RESERVED,482,18
